0,1,2,3,4,5,6,7,8,9,10,11,12,13
34,6,8576,9,12,2,12,0,1,1,0,76,39,3
24,4,6475,14,14,2,10,0,4,1,0,76,39,39
43,5,14808,8,10,2,7,0,4,1,0,76,68,0
20,4,19126,12,13,2,4,0,4,1,0,76,59,39
38,5,5910,14,14,2,10,0,4,1,0,76,34,12
22,5,19126,9,12,2,12,0,4,1,0,76,59,39
25,5,11371,14,14,2,10,0,4,1,0,76,59,39
32,4,12624,9,12,2,12,0,4,1,0,76,54,39
30,6,7400,11,8,2,4,0,4,1,0,76,49,39
24,2,18146,14,14,2,10,0,4,1,0,76,44,39
38,5,14912,9,12,2,4,0,4,1,0,76,49,39
22,4,10481,12,13,2,4,5,4,0,0,76,64,39
25,4,8080,9,12,2,4,0,4,1,0,76,59,39
24,0,223,8,10,2,0,0,4,1,0,76,11,39
29,4,19042,12,13,2,12,0,4,1,0,76,64,39
23,4,8550,12,13,2,4,0,4,1,0,76,44,39
15,4,20560,9,12,2,10,0,4,1,0,76,47,39
24,5,7827,15,9,2,4,0,4,1,0,76,54,39
43,5,19283,14,14,2,10,0,4,1,0,76,76,39
14,4,17461,12,13,2,4,0,4,1,0,76,68,36
41,6,1207,15,9,2,5,0,4,1,0,76,39,39
20,5,425,9,12,2,12,0,4,1,0,76,49,39
27,6,12914,9,12,2,4,0,4,1,0,76,49,39
22,6,14295,14,14,2,10,0,4,1,0,76,49,0
26,1,8284,14,14,2,10,0,1,1,0,76,54,0
38,5,18186,9,12,2,4,0,4,1,0,76,49,39
27,5,11827,12,13,2,10,0,4,1,0,76,54,39
22,4,12581,14,14,2,10,0,1,1,0,76,66,19
29,6,4049,9,12,2,12,0,4,1,0,76,39,39
22,4,19666,15,9,2,5,0,4,1,0,76,93,39
45,5,1834,9,12,2,5,0,4,1,0,76,59,39
14,6,16310,11,8,2,8,5,4,0,0,76,39,39
29,4,11978,9,12,2,1,0,1,1,0,76,34,30
29,6,12594,14,14,2,10,0,4,1,0,76,76,39
22,5,7227,8,10,2,3,0,4,1,0,76,39,39
22,4,15519,14,14,2,12,0,4,1,0,76,93,39
42,4,2855,10,15,2,10,0,4,1,0,76,44,39
33,5,9206,14,14,2,10,0,4,1,0,76,59,39
29,4,21126,10,15,2,10,0,4,1,0,76,54,39
36,6,4316,9,12,2,4,0,4,1,0,76,39,39
33,6,1183,14,14,2,10,0,4,1,0,76,29,39
24,5,5083,14,14,2,4,5,4,0,0,76,54,39
19,4,19607,9,12,2,12,0,4,1,0,76,44,39
21,4,11391,14,14,2,10,0,4,1,0,76,85,39
37,4,816,15,9,2,12,0,4,1,0,76,49,39
33,4,4055,9,12,2,4,5,4,0,0,76,19,39
30,4,7677,9,12,2,4,0,4,1,0,76,59,39
30,5,4049,14,14,2,10,0,4,1,0,76,44,39
50,4,4295,9,12,6,4,1,4,1,0,75,39,39
50,5,4374,9,12,2,4,0,4,1,0,75,72,39
55,6,1619,10,15,2,10,0,4,1,0,75,24,39
55,0,5498,10,15,2,0,0,4,1,0,75,5,39
29,5,11858,12,13,2,4,0,4,1,0,75,49,39
61,5,11409,9,12,2,4,0,4,1,0,75,39,39
54,5,2225,9,12,2,4,0,4,1,0,75,59,39
66,5,7997,9,12,2,4,0,4,1,0,75,54,39
51,4,13751,12,13,2,4,0,4,1,0,75,39,39
9,4,10669,8,10,2,1,0,4,1,0,74,44,39
51,7,15399,10,15,2,10,0,4,1,0,74,59,39
32,5,8404,11,8,2,1,5,4,0,0,74,39,39
19,4,20135,11,8,2,10,0,4,1,0,74,59,39
53,6,8138,9,12,2,3,0,4,1,0,74,11,39
10,4,8233,15,9,2,1,5,2,0,0,74,19,39
18,2,10231,15,9,2,4,0,4,1,0,74,39,39
6,4,8767,11,8,2,12,0,4,1,0,74,39,39
64,4,10242,11,8,2,4,0,4,1,0,74,25,39
49,6,20929,10,15,2,12,0,4,1,0,74,24,39
54,4,7919,11,8,2,4,0,4,1,0,74,44,39
51,4,14304,15,9,2,12,0,4,1,0,74,54,39
51,7,13002,12,13,2,10,0,4,1,0,74,41,0
48,0,15714,9,12,2,0,0,4,1,0,74,39,39
35,4,14550,11,8,2,12,0,2,1,0,74,39,39
23,5,4772,7,11,2,3,0,4,1,0,74,49,39
51,0,16525,9,12,2,0,0,4,1,0,74,34,39
4,4,20285,15,9,2,4,0,4,1,0,74,47,39
18,4,11971,11,8,2,3,0,4,1,0,74,39,39
53,5,13473,9,12,2,4,0,4,1,0,74,49,39
44,6,890,11,8,2,5,0,4,1,0,73,49,39
48,5,2835,11,8,2,5,0,4,1,0,73,64,39
29,4,14034,4,2,0,3,1,4,0,0,72,44,39
9,2,9062,9,12,4,10,1,4,1,0,72,54,39
42,2,7580,11,8,6,5,4,4,1,0,72,39,39
44,4,1224,4,2,4,6,1,2,1,0,72,39,39
43,7,19918,9,12,0,10,1,4,0,0,72,39,39
32,5,7062,15,9,0,4,1,4,1,0,72,49,39
17,4,146,9,12,3,7,1,1,1,0,72,39,0
8,4,2650,9,12,4,10,3,4,0,0,72,34,39
38,4,8406,15,9,4,1,1,2,0,0,72,44,0
42,2,9561,11,8,5,11,2,2,0,0,72,39,39
11,7,20346,15,9,5,4,3,4,1,0,72,39,39
26,0,7938,8,10,6,0,1,4,0,0,72,35,39
39,6,19611,12,13,0,12,4,4,0,0,72,59,39
24,4,8692,11,8,0,3,1,4,1,0,72,39,39
25,4,11831,11,8,4,1,2,2,0,0,72,39,38
11,4,16273,14,14,4,10,1,4,1,0,72,39,2
23,6,632,14,14,0,8,1,4,0,0,72,34,39
52,4,14977,9,12,6,10,1,4,1,0,71,39,39
49,2,872,11,8,2,3,0,4,1,0,70,39,39
52,4,5964,4,2,2,7,0,4,1,0,70,39,39
38,2,10077,12,13,2,10,5,4,0,0,70,39,39
40,1,20140,11,8,4,1,1,4,1,0,69,39,39
3,6,8294,15,9,4,5,3,4,1,0,69,9,39
16,4,17858,11,8,0,3,1,4,1,0,69,79,39
13,6,16527,15,9,4,12,2,1,1,0,69,39,35
23,4,17826,9,12,4,13,1,1,0,0,69,47,30
21,4,4020,15,9,5,7,1,4,1,0,69,54,39
29,7,11953,7,11,0,1,4,4,1,0,69,37,39
12,4,6672,9,12,4,4,1,4,0,0,69,44,39
40,1,12633,9,12,4,1,1,4,1,0,69,39,39
22,4,8276,11,8,4,3,3,4,1,0,69,41,39
30,4,6861,9,12,0,4,1,4,1,0,69,39,39
9,4,17498,9,12,4,4,1,4,1,0,69,44,39
10,6,13528,11,8,4,3,1,4,1,0,69,49,39
6,4,4106,9,12,4,10,3,4,0,0,69,39,39
17,4,875,12,13,4,10,1,4,1,0,69,49,39
16,4,10099,2,7,0,3,1,4,1,0,69,41,39
21,2,8737,12,13,4,10,1,4,0,0,69,59,39
40,4,5694,15,9,6,1,4,4,0,0,69,37,39
19,4,7444,11,8,4,4,1,4,1,0,69,68,39
27,1,358,9,12,0,13,1,4,1,0,69,39,39
32,7,17070,10,15,4,4,1,4,0,0,69,49,39
27,5,10367,15,9,4,12,1,4,1,0,69,59,39
38,4,1125,15,9,6,5,1,4,1,0,69,61,39
28,4,11395,11,8,0,5,1,4,1,0,69,43,39
31,4,9950,11,8,0,4,1,4,0,0,69,39,39
14,4,16802,9,12,2,4,0,4,1,0,68,44,39
38,2,3791,11,8,2,10,2,4,0,0,68,39,39
53,6,7284,15,9,2,4,0,4,1,0,68,39,39
53,6,5923,12,13,2,4,0,4,1,0,68,7,39
56,4,19277,9,12,2,10,0,4,1,0,68,39,39
55,6,17735,14,14,2,10,0,4,1,0,68,27,39
14,4,19068,11,8,5,7,4,4,0,0,67,39,39
11,4,6294,0,5,6,1,4,4,0,0,67,34,39
6,6,16582,9,12,4,1,3,4,1,0,66,39,39
32,2,4057,6,4,6,6,4,4,1,0,66,39,39
10,2,3377,15,9,4,11,1,4,1,0,66,39,39
72,4,1603,11,8,4,8,1,2,1,0,65,39,39
51,4,9051,11,8,6,1,1,4,0,0,65,29,39
48,4,7744,11,8,0,1,4,4,0,0,65,58,2
48,0,7226,11,8,6,0,4,4,0,0,65,9,39
50,4,5442,9,12,0,4,1,4,0,0,65,4,39
49,2,19975,9,12,6,10,1,2,0,0,65,24,39
7,4,20304,15,9,4,1,1,4,1,0,64,23,39
27,6,9573,15,9,0,7,1,4,1,0,64,34,39
18,4,4545,15,9,4,1,3,4,0,0,64,39,39
3,4,4507,7,11,4,8,3,4,0,0,64,17,39
21,4,6095,11,8,0,3,1,4,1,0,64,39,39
22,4,8171,15,9,4,8,3,2,0,0,64,39,39
15,4,260,15,9,4,7,2,4,0,0,64,39,15
25,4,15801,5,3,4,6,1,2,1,0,64,39,39
46,0,15293,11,8,0,0,1,4,0,0,64,39,39
25,5,78,12,13,0,4,4,1,1,0,63,59,19
47,4,10627,1,6,2,3,0,4,1,0,62,39,39
11,4,9080,5,3,2,6,0,3,1,0,62,39,33
24,5,6985,8,10,2,12,0,3,1,0,62,79,26
24,6,7347,5,3,2,3,0,4,1,0,62,39,39
41,6,16942,3,1,2,14,0,4,1,0,62,17,39
42,7,18333,15,9,2,4,0,4,1,0,62,39,39
17,6,1844,11,8,2,5,5,4,0,0,62,11,39
28,4,9171,11,8,2,14,0,4,1,0,62,44,39
12,4,5506,11,8,2,1,5,4,0,0,62,39,39
30,4,10057,0,5,2,12,0,4,1,0,62,51,39
23,4,13877,15,9,2,7,0,4,1,0,62,39,39
30,6,11771,4,2,2,12,0,4,1,0,62,49,26
46,0,2913,9,12,2,0,0,4,1,0,62,44,39
24,6,9460,11,8,2,6,0,4,1,0,62,39,39
17,4,10575,15,9,2,14,0,2,1,0,62,39,39
49,0,10234,9,12,2,0,0,4,1,0,61,39,39
48,6,4828,15,9,2,4,0,4,1,0,61,9,39
53,4,17612,11,8,2,6,0,4,1,0,61,39,39
58,6,18554,14,14,2,10,0,4,1,0,61,49,39
48,7,14099,11,8,2,1,0,4,1,0,61,39,39
48,1,77,15,9,2,4,0,2,1,0,61,39,39
56,4,7566,15,9,2,10,0,4,1,0,61,49,39
43,0,7071,9,12,2,0,0,1,1,0,60,24,35
51,6,5290,8,10,2,10,0,4,1,0,59,39,39
57,6,5518,11,8,2,12,0,4,1,0,59,19,39
26,4,7263,4,2,2,7,5,1,0,0,58,69,0
2,6,19474,1,6,2,3,3,4,1,0,58,54,39
20,6,2318,11,8,2,3,0,4,1,0,58,39,39
28,1,13408,7,11,0,1,4,1,1,0,57,39,30
47,4,7681,12,13,2,10,0,1,1,0,56,59,3
13,4,7638,11,8,2,14,0,4,1,0,56,39,39
34,6,17037,15,9,2,10,5,4,0,0,56,59,2
18,4,17179,1,6,2,3,0,4,1,0,56,39,39
12,4,15645,11,8,2,1,5,4,0,0,56,19,39
17,4,12721,15,9,2,1,5,4,0,0,56,39,39
24,4,6028,11,8,2,3,0,4,1,0,55,59,39
18,4,2272,15,9,2,3,0,4,1,0,55,44,39
9,4,5190,15,9,2,1,0,4,1,0,55,39,39
37,4,9647,11,8,2,14,0,4,1,0,55,49,39
35,2,18399,11,8,2,3,0,4,1,0,55,39,39
33,6,4279,11,8,2,5,0,4,1,0,55,19,39
14,4,17935,15,9,2,1,0,4,1,0,55,39,39
21,1,16133,11,8,2,14,0,4,1,0,55,39,39
13,4,2974,15,9,2,3,0,4,1,0,55,39,39
17,2,4321,9,12,2,10,0,4,1,0,55,39,39
14,4,8663,15,9,2,12,0,4,1,0,55,56,39
35,4,12258,11,8,2,7,0,4,1,0,55,37,39
37,4,21624,11,8,2,3,0,4,1,0,55,39,39
21,4,8537,11,8,2,3,0,4,1,0,55,43,39
22,4,6716,11,8,2,7,0,4,1,0,55,39,39
12,4,15913,8,10,2,13,0,4,1,0,55,39,39
28,4,11280,11,8,2,3,0,4,1,0,55,39,39
17,4,16895,11,8,2,14,0,4,1,0,55,54,39
21,4,8083,11,8,2,3,0,4,1,0,55,39,31
22,4,18666,0,5,2,3,0,4,1,0,55,39,39
44,4,10483,11,8,2,3,0,4,1,0,55,19,39
26,4,5306,1,6,2,14,0,4,1,0,54,39,39
18,4,1090,15,9,2,6,0,4,1,0,54,39,39
29,4,18711,15,9,2,12,0,4,1,0,54,49,39
21,4,806,11,8,2,6,0,4,1,0,54,39,39
25,6,5649,11,8,2,3,0,4,1,0,54,47,39
17,4,3288,7,11,2,13,0,4,1,0,54,9,39
12,4,13016,5,3,2,5,0,4,1,0,54,39,39
15,4,16692,1,6,2,3,0,4,1,0,54,29,39
43,4,6126,11,8,2,11,0,4,1,0,54,33,39
32,2,4459,11,8,2,3,0,4,1,0,53,39,39
36,2,6663,11,8,2,8,0,4,1,0,53,44,39
39,4,12922,5,3,2,6,0,4,1,0,53,39,39
31,4,20788,1,6,2,14,0,4,1,0,53,39,39
15,1,7603,9,12,2,10,0,1,1,0,53,39,20
25,6,9508,11,8,2,3,0,4,1,0,53,39,39
15,4,4097,7,11,2,10,0,4,1,0,53,41,39
11,2,9970,7,11,2,11,0,4,1,0,53,39,9
9,4,898,8,10,2,3,0,4,1,0,53,39,39
42,4,9429,9,12,2,4,0,4,1,0,53,49,39
30,6,13512,9,12,2,10,0,4,1,0,53,29,39
9,0,6452,9,12,2,0,0,4,1,0,53,39,39
24,4,1121,11,8,2,3,0,4,1,0,53,59,39
19,4,10922,11,8,2,3,3,4,0,0,53,39,39
28,4,19879,9,12,2,12,0,4,1,0,53,54,39
13,4,1447,7,11,2,10,0,4,1,0,53,39,39
19,4,4520,11,8,2,14,0,4,1,0,53,39,39
17,5,12575,11,8,2,4,0,4,1,0,53,39,39
36,4,17667,11,8,2,14,0,4,1,0,53,39,39
34,4,13720,11,8,2,12,0,4,1,0,53,44,39
30,6,19847,10,15,2,14,0,4,1,0,53,44,39
2,0,15752,11,8,4,0,4,4,1,0,52,39,39
13,4,1898,11,8,4,1,4,4,1,0,52,41,39
3,4,18724,11,8,4,8,4,4,1,0,52,39,39
25,1,2549,12,13,0,1,1,4,1,0,52,59,39
14,4,21115,1,6,4,3,1,4,1,0,52,39,39
16,4,12944,9,12,4,6,1,4,1,0,52,39,39
8,4,5671,7,11,4,13,1,4,0,0,52,29,39
3,4,7514,11,8,4,8,1,4,1,0,52,39,39
6,4,13968,11,8,4,1,3,2,1,0,52,39,39
38,0,5850,11,8,5,0,1,2,0,0,52,39,39
24,6,17412,15,9,0,3,1,4,1,0,52,49,39
37,6,12711,11,8,6,3,1,4,1,0,52,34,39
8,4,20293,11,8,4,3,1,4,1,0,52,49,39
2,4,16839,15,9,4,1,3,4,0,0,52,39,39
7,4,13649,11,8,4,1,1,4,0,0,52,36,39
39,1,2057,9,12,4,14,1,2,1,0,52,64,39
4,2,4106,15,9,4,8,1,4,0,0,52,39,39
17,4,13589,11,8,4,7,1,2,1,0,52,39,39
2,4,12564,11,8,4,1,3,4,1,0,52,39,39
4,0,1085,15,9,4,0,1,4,1,0,52,44,39
31,4,3424,11,8,5,1,1,4,0,0,52,39,39
17,4,9917,9,12,4,8,1,4,1,0,52,39,39
14,4,11604,11,8,4,5,1,4,1,0,52,39,39
19,4,18165,11,8,4,8,1,2,0,0,52,39,39
10,4,5968,11,8,4,8,1,4,1,0,51,39,39
10,4,5239,15,9,4,3,3,1,1,0,51,39,30
18,4,11294,9,12,0,12,1,4,0,0,51,64,39
14,6,8662,9,12,3,4,1,4,1,0,51,59,39
10,1,21194,11,8,4,3,1,2,1,0,51,39,39
11,2,18397,7,11,4,1,1,4,0,0,51,39,39
25,4,10059,11,8,0,14,1,4,1,0,51,45,39
27,4,19838,15,9,5,4,1,4,1,0,51,44,9
24,4,1720,9,12,0,12,1,4,1,0,51,55,39
11,4,11036,9,12,4,13,1,4,0,0,51,34,39
24,1,11136,11,8,4,1,1,4,0,0,51,39,39
18,4,1750,0,5,6,8,1,2,0,0,51,39,39
41,4,6051,12,13,0,1,1,4,0,0,51,44,39
23,4,6945,11,8,0,7,1,4,1,0,51,47,39
14,4,10990,8,10,4,14,3,4,1,0,51,59,39
13,4,13426,11,8,4,12,1,4,0,0,51,39,39
15,4,12686,15,9,5,13,1,0,1,0,51,39,39
8,4,4790,15,9,4,1,1,4,1,0,51,39,39
17,4,12522,11,8,4,14,3,4,1,0,51,39,39
39,4,754,15,9,0,4,1,4,0,0,51,39,39
28,4,3912,11,8,0,8,1,4,1,0,51,39,39
33,4,4237,11,8,4,1,1,4,1,0,51,39,39
10,4,6509,0,5,4,12,2,4,1,0,51,39,39
34,4,3577,15,9,2,12,0,4,1,0,50,39,39
23,4,13450,7,11,2,13,0,4,1,0,50,59,39
24,4,21064,12,13,2,4,0,4,1,0,50,64,39
32,4,11952,12,13,2,4,0,4,1,0,50,44,39
20,4,61,8,10,2,3,0,4,1,0,50,39,39
19,5,4545,9,12,2,4,5,4,0,0,50,44,39
18,4,12664,14,14,2,10,0,4,1,0,50,76,39
12,5,16682,11,8,2,12,5,4,0,0,50,24,39
33,4,6600,9,12,2,10,5,4,0,0,50,39,39
29,4,6260,9,12,2,12,0,4,1,0,50,39,39
27,6,10458,11,8,2,4,0,4,1,0,50,44,39
25,2,4806,12,13,2,4,0,4,1,0,50,39,39
21,1,19351,14,14,2,10,0,4,1,0,50,49,39
28,4,11961,9,12,2,4,0,4,1,0,50,54,39
26,2,7549,12,13,2,4,0,4,1,0,50,59,39
30,5,6948,14,14,2,10,0,4,1,0,50,59,39
41,5,19710,14,14,2,10,0,4,1,0,50,49,39
31,4,19156,14,14,2,13,0,4,1,0,50,39,39
25,2,15954,9,12,2,4,0,4,1,0,50,47,39
38,4,8015,12,13,2,4,0,4,1,0,50,49,39
34,4,16316,0,5,2,12,0,4,1,0,50,39,39
15,4,18088,12,13,2,4,0,2,1,0,50,39,39
28,2,8558,9,12,2,4,0,4,1,0,50,49,39
39,4,11965,12,13,2,3,0,4,1,0,50,43,39
21,4,15348,12,13,2,4,0,4,1,0,50,59,39
28,4,628,8,10,2,12,0,4,1,0,50,49,39
32,4,4010,12,13,2,10,5,4,0,0,50,39,39
19,4,10908,11,8,2,10,0,4,1,0,50,39,39
32,4,11070,12,13,2,4,0,4,1,0,50,39,39
13,4,18716,10,15,2,10,0,1,1,0,50,39,3
25,5,5888,14,14,2,10,0,4,1,0,50,49,39
38,4,524,12,13,2,4,0,4,1,0,50,39,39
17,4,10617,9,12,2,4,0,4,1,0,50,44,39
37,4,3169,10,15,2,10,0,4,1,0,50,49,39
25,6,18963,9,12,2,4,0,4,1,0,50,68,39
8,2,3297,9,12,2,10,0,4,1,0,50,39,39
38,5,6896,11,8,2,4,0,4,1,0,50,44,39
41,7,12095,12,13,2,10,0,4,1,0,50,49,39
45,4,14267,11,8,2,14,0,4,1,0,50,59,39
26,5,14482,14,14,2,10,0,4,1,0,50,39,39
40,2,9832,12,13,2,10,5,2,0,0,50,39,39
25,5,17384,10,15,2,10,0,4,1,0,50,59,39
46,6,782,9,12,2,10,0,1,1,0,50,31,3
30,6,13945,14,14,2,10,0,4,1,0,50,49,39
20,4,3794,9,12,2,4,0,4,1,0,50,49,39
23,4,13615,9,12,2,12,0,4,1,0,50,59,39
26,4,5436,9,12,2,10,0,4,1,0,50,49,39
26,7,635,14,14,2,10,0,4,1,0,50,68,39
24,6,12792,14,14,2,10,0,4,1,0,50,59,39
15,4,13149,14,14,2,10,0,4,1,0,50,59,39
30,4,11596,9,12,2,12,0,4,1,0,50,39,39
22,1,9966,15,9,2,6,0,4,1,0,50,59,39
36,4,12061,15,9,2,4,0,4,1,0,50,39,39
17,4,11604,9,12,2,4,0,4,1,0,50,44,39
19,4,588,9,12,2,4,0,4,1,0,50,39,39
30,2,17722,12,13,2,4,0,4,1,0,50,40,39
35,4,88,8,10,2,4,0,4,1,0,50,44,39
23,6,17706,14,14,2,10,0,0,1,0,50,59,39
25,5,6347,9,12,2,10,0,4,1,0,50,39,39
34,4,4081,12,13,2,11,0,4,1,0,50,39,39
38,4,13499,12,13,2,13,0,4,1,0,50,19,39
21,4,4829,11,8,2,12,0,4,1,0,50,93,39
35,4,6969,15,9,2,4,0,4,1,0,50,49,39
43,1,9008,11,8,2,13,0,4,1,0,50,39,39
38,4,5953,8,10,2,10,0,4,1,0,50,49,11
30,2,375,12,13,2,4,0,2,1,0,50,49,39
29,4,4094,12,13,2,13,0,4,1,0,50,39,39
18,4,3097,12,13,2,10,0,4,1,0,50,44,39
42,5,14600,9,12,2,4,0,4,1,0,50,49,39
40,4,21009,12,13,2,10,0,4,1,0,50,44,39
29,4,9170,15,9,2,10,0,4,1,0,50,49,39
29,1,13900,12,13,2,4,0,4,1,0,50,39,39
35,4,9288,11,8,2,3,0,4,1,0,50,39,39
28,4,20008,10,15,2,10,5,4,0,0,50,29,39
20,4,15773,9,12,2,13,0,4,1,0,50,39,39
29,4,19310,12,13,2,4,0,4,1,0,50,44,39
27,4,8299,9,12,2,10,0,2,1,0,50,49,39
28,4,2986,8,10,2,4,0,4,1,0,50,49,39
26,4,1780,11,8,2,7,0,4,1,0,50,51,39
37,2,11157,12,13,2,10,0,4,1,0,50,39,39
33,4,7820,12,13,2,10,0,4,1,0,50,39,39
34,4,12704,9,12,2,4,0,4,1,0,50,59,0
28,4,14749,9,12,2,10,0,4,1,0,50,39,39
19,4,11976,12,13,2,10,0,4,1,0,50,59,39
10,4,10912,9,12,2,4,0,4,1,0,50,49,39
19,4,11569,9,12,2,12,0,4,1,0,50,34,39
36,4,7960,12,13,2,4,0,4,1,0,50,54,39
34,2,5814,12,13,2,10,0,4,1,0,50,34,39
11,4,5052,9,12,2,10,5,4,0,0,50,23,39
30,6,14965,15,9,2,3,0,4,1,0,50,39,39
28,4,15258,9,12,2,4,0,4,1,0,50,59,39
28,2,8496,12,13,2,10,5,4,0,0,50,34,39
22,6,12941,14,14,2,10,0,4,1,0,50,49,39
22,4,14295,9,12,2,4,0,4,1,0,50,39,39
38,6,16127,12,13,2,10,0,4,1,0,50,39,39
45,4,2431,15,9,2,4,0,4,1,0,50,92,39
32,4,6785,9,12,2,12,0,1,1,0,50,49,35
36,6,3879,12,13,2,4,0,4,1,0,50,39,39
14,4,10839,12,13,2,4,0,4,1,0,50,47,39
25,5,11500,11,8,2,4,0,4,1,0,50,59,22
22,4,12875,9,12,2,14,0,4,1,0,50,44,30
43,6,17587,9,12,2,4,0,4,1,0,50,44,39
9,4,17966,14,14,2,10,0,4,1,0,50,39,39
20,4,6089,12,13,2,4,0,4,1,0,50,39,39
28,7,4141,9,12,2,4,0,4,1,0,50,59,39
20,4,4625,7,11,2,12,0,4,1,0,50,44,39
15,4,12254,9,12,2,12,0,4,1,0,50,44,39
22,5,6686,11,8,2,4,0,4,1,0,50,39,39
41,6,7576,0,5,2,3,5,4,0,0,50,34,0
28,4,7422,12,13,2,4,0,4,1,0,50,42,39
24,4,6782,9,12,2,10,0,4,1,0,50,44,39
19,6,863,11,8,2,5,0,4,1,0,50,64,39
34,7,17744,12,13,2,10,0,4,1,0,50,59,39
22,4,2788,15,9,2,4,0,4,1,0,50,61,39
39,6,3459,14,14,2,10,0,4,1,0,50,49,39
36,1,17156,11,8,2,1,0,2,1,0,50,39,39
23,6,10061,8,10,2,10,5,4,0,0,50,14,39
40,4,7101,12,13,2,4,0,2,1,0,50,39,39
33,2,5972,11,8,2,3,0,4,1,0,50,34,39
17,4,4871,14,14,2,10,0,4,1,0,50,54,39
18,4,3819,9,12,2,4,5,4,0,0,50,29,39
13,6,20670,11,8,2,10,0,4,1,0,50,14,39
36,2,12749,12,13,2,10,0,4,1,0,50,54,39
14,7,13443,10,15,2,10,0,4,1,0,50,68,39
20,4,6680,9,12,2,4,0,4,1,0,50,59,39
17,4,19585,9,12,2,12,0,4,1,0,50,49,39
19,4,6095,12,13,2,10,0,4,1,0,50,49,39
23,4,4480,9,12,2,4,0,4,1,0,50,49,39
34,4,15093,15,9,2,3,0,4,1,0,50,59,39
16,4,6563,11,8,2,12,0,4,1,0,50,44,39
23,4,1372,10,15,2,10,5,4,0,0,50,19,39
33,5,12907,5,3,2,3,0,4,1,0,50,62,0
29,5,14138,12,13,2,12,0,4,1,0,50,59,39
